Feature_ID,row m/z,row retention time,row identity (all IDs),Metabolite,Mapping Type,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_00001,112.985322,1.308005,,,,,,,,20,20,100,100,0,0,0
neg_00002,116.035074,1.306233,,,,,,,,20,20,100,100,0,0,0
neg_00003,283.263704,1.080988,Stearate,Stearate,1A,C18H36O2,C01530,HMDB0000827,3033836,20,20,100,100,0,1,1
neg_00004,85.029374,2.059925,,,,,,,,5,20,25,100,0,0,0
neg_00005,167.020720,4.115362,Urate,Urate,1A,C5H4N4O3,C00366,HMDB0000289,1175,20,20,100,100,0,1,1
neg_00006,124.007106,4.936587,Taurine,Taurine,1A,C2H7NO3S,C00245,HMDB0000251,1123,20,20,100,100,0,1,1
neg_00007,89.024201,2.659618,(S)-Lactate,(S)-Lactate,1A,C3H6O3,C00186,HMDB0000190,107689,20,20,100,100,0,1,1
neg_00008,255.232531,1.056707,Palmitate,Palmitate,1A,C16H32O2,C00249,HMDB0000220,985,20,20,100,100,0,1,1
neg_00009,68.995629,1.308448,,,,,,,,20,20,100,100,0,0,0
neg_00010,87.045028,2.232991,,,,,,,,20,20,100,100,0,0,0
neg_00011,121.040530,2.062056,,,,,,,,20,20,100,100,0,0,0
neg_00012,245.042738,4.123942,,,,,,,,20,20,100,100,0,0,0
neg_00013,133.014020,5.713054,(S)-Malate;(R)-Malate,(S)-Malate|(R)-Malate,1A|1A,C4H6O5|C4H6O5,C00149|C00497,HMDB0000156|HMDB0031518,222656|92824,20,20,100,100,0,1,1
neg_00014,126.904787,3.022558,,,,,,,,20,20,100,100,0,0,0
neg_00015,75.008572,1.913808,,,,,,,,20,20,100,100,0,0,0
neg_00016,115.076188,1.291256,,,,,,,,20,20,100,100,0,0,0
neg_00017,146.045639,4.836420,L-Glutamic acid,L-Glutamic acid,1A,C5H9NO4,C00025,HMDB0000148,33032,20,20,100,100,0,1,1
neg_00018,122.967355,13.941602,,,,,,,,20,20,100,100,0,0,0
neg_00019,121.029421,2.058579,,,,,,,,20,20,100,100,0,0,0
neg_00020,100.985411,13.941013,,,,,,,,20,20,100,100,0,0,0
neg_00021,228.931413,13.946899,,,,,,,,20,20,100,100,0,0,0
neg_00022,162.959825,13.945155,,,,,,,,20,20,100,100,0,0,0
neg_00023,157.123080,1.127073,Nonanoate,Nonanoate,1A,C9H18O2,C01601,HMDB0000847,5461016,20,20,100,100,0,1,1
