Feature_ID,K1A,K2A,K2B,K2C,K3A,K4A,K5B,K5C,K6A,K6B,TK1A,TK2A,TK4A,TK4B,TK4C,TK4D,TK5B,TK5C,TK5D,TK5E
neg_00001,29.90315405,28.98546112,29.18208192,29.205182,29.66673009,30.84364744,29.73669795,29.20241373,30.25809638,30.3816959,30.52614476,29.32255938,29.00018666,29.615885,29.91126104,29.68698851,29.19696282,29.29324138,29.75478807,29.43963216
neg_00002,26.94637306,26.05820133,25.53483902,25.50151219,26.41473001,27.84034608,26.64222601,25.63886729,27.33476762,26.38167114,28.00195871,26.19204413,25.28063094,26.31125505,26.81060454,26.34463858,25.59891889,26.08585861,26.7305348,26.15443615
neg_00003,25.73695741,23.51678619,24.52241647,25.29955577,25.89643394,26.97419448,26.49319444,24.70417982,26.15669541,26.01339915,27.92971019,25.64654727,24.38214288,25.53527858,25.57473073,25.79842638,24.74959815,25.32372485,25.71436852,24.96865483
neg_00004,25.36694286,23.9403704,24.18520931,24.01724281,23.22652625,24.65049087,24.29223408,23.70444541,24.52393857,23.47690229,27.89955175,23.17073387,23.56002454,23.22442246,24.8141539,22.90257264,23.36356956,23.50264121,24.15697955,23.18726643
neg_00005,26.54485059,24.09390533,24.0327845,25.24453222,24.01206961,27.8035483,24.08820693,24.57403854,25.0941291,25.83572266,27.64306536,24.52508296,24.09488083,23.83029139,24.96581356,26.34232903,24.18595018,24.53209624,24.64355943,24.13624803
neg_00006,27.89088424,27.59486368,27.67548141,27.696521,27.57120824,28.44598372,27.6341409,27.92702374,27.67564553,28.09187258,27.62721895,28.02510965,27.55951493,27.77800924,27.6378195,28.03546961,27.73708078,27.76469771,27.86530324,27.64455333
neg_00007,27.75650911,29.80869755,29.64429369,29.06478552,29.32651748,27.97520262,29.19873756,29.70976151,27.90125091,28.56604473,27.55837548,29.36095398,29.98265017,29.05783607,29.12110569,28.9233886,29.61243101,29.66844132,29.40148355,29.79979221
neg_00008,25.96154808,25.27471334,24.83095323,25.70500016,25.51571591,27.25802456,25.8917892,25.96284788,26.15052147,26.52996087,27.36239637,25.49687575,25.4851996,26.39161046,26.23653045,26.52365554,25.77346348,25.75647264,25.64319591,26.53163722
neg_00009,26.46928867,25.52110256,25.78629368,25.79459934,26.26308192,27.4002915,26.25863941,25.7799863,26.82711165,26.95933381,27.14819897,25.92113637,25.60299346,26.22564858,26.47205589,26.22756523,25.80532312,25.92430921,26.37102057,25.99729818
neg_00010,23.80900593,20.93474966,20.89431413,20.65141517,20.92841374,19.6709647,20.01590543,21.17632326,19.62659543,21.68377244,27.00000829,20.97439241,22.29675195,20.12843775,20.00928371,19.92771342,20.95017363,20.48067213,20.55180292,20.63401537
neg_00011,27.50693043,28.58265118,28.29445453,27.98995829,27.39895826,27.70672171,27.51327279,28.29209651,27.1715391,27.90814788,26.82976474,27.85903436,28.01416588,27.56545573,27.17075175,27.60497599,28.11154057,27.68668816,27.4271187,27.65044575
neg_00012,26.71815619,23.79681758,24.58330122,24.5521519,24.93728166,26.99485728,23.18972193,24.63066662,26.43207554,26.64386357,26.76830975,24.2408793,24.72392421,25.29689647,26.27559043,26.05441482,24.12588316,24.52099863,24.45781473,25.58500499
neg_00013,25.85392843,26.99867509,26.96317041,26.4917976,27.12382797,26.39143391,26.15812958,26.21638423,26.33010563,26.42028988,26.53170632,26.57537414,26.26521432,26.41442442,26.69736238,26.62987838,27.20890965,26.98498618,27.06899515,26.33856527
neg_00014,26.15067447,25.21508744,25.34478054,25.82021526,25.98379671,27.27332393,25.66163744,25.94746383,26.6440569,26.7106338,26.46010925,25.82163174,25.38961735,25.99460117,26.26060686,26.26601759,25.84223513,25.81179206,26.1236205,25.96431662
neg_00015,25.72136617,24.54734559,24.91626628,25.25789283,25.2965031,26.95930944,25.55945367,25.02108782,26.05171363,25.72494087,26.43987065,25.19919918,24.80102076,25.46589932,25.37950636,25.72090877,24.62246313,25.09639016,25.57532188,24.8789788
neg_00016,24.9025328,24.01782385,24.15630533,24.17978045,23.97067799,25.22595967,24.35458776,23.63399233,24.94063398,23.56906523,26.4170159,24.06645986,23.52965724,24.04611577,24.65887013,23.92354694,23.55503336,24.12837172,24.6884813,23.90083952
neg_00017,26.14276572,26.20736588,26.70258979,26.20416783,26.12945329,26.25242199,25.93083554,26.28277499,25.66900849,25.94312532,26.35512831,25.76232871,26.01005352,26.10999124,26.06521253,26.04464375,26.30530834,25.60316801,25.67501514,25.72048571
neg_00018,25.62548646,23.90985282,23.96171848,24.96433158,24.23688506,26.55463294,24.8372077,24.39993162,25.36299495,25.64863409,26.21898298,24.61086555,23.79247578,24.58509608,25.21073272,25.53780234,23.9220486,24.22134038,24.66875709,24.59216534
neg_00019,25.16928883,24.52387649,23.97558797,24.48468971,25.11726369,26.43964163,24.85676897,24.21345183,25.73744243,25.47505502,25.92503725,24.70105982,23.88111169,24.817135,25.22969708,24.69140441,24.01921093,25.15182668,24.99991682,24.70082363
neg_00020,25.27511585,23.66732511,23.79932727,24.63666654,24.16817412,26.29796382,24.66688784,24.18651617,25.19010331,25.40564785,25.86171424,24.33514088,23.6596606,24.40238207,24.94778955,25.19638735,23.81351532,24.04553443,24.4920291,24.34848763
neg_00021,25.32388076,23.39263219,23.26970257,24.56816504,23.43327286,26.16042421,24.24803498,23.88108142,24.78814723,25.20536816,25.86128186,24.10143411,23.10867112,23.93489032,24.69942953,25.18655102,23.17723625,23.54360188,23.98933952,24.05447598
neg_00022,25.22999596,23.40612181,23.34431461,24.48532809,23.55971772,26.10053701,24.26955734,23.87998426,24.80729374,25.16741095,25.7837344,24.12432651,23.1795458,24.02884947,24.69769095,25.10055922,23.28989646,23.61528083,24.06594018,24.05815042
neg_00023,23.90855364,23.9800504,23.03892259,23.40155739,23.70741816,25.37471705,23.91447436,22.69653669,24.68438166,24.83224845,25.72165207,23.59832706,22.78874313,23.72460235,24.3613276,23.67547132,22.76141365,23.68252615,24.00317645,23.83264309
neg_00024,25.67240013,26.87482949,25.32215542,25.59911341,25.65379041,26.31131008,24.79865161,25.07215268,25.78060701,25.87068401,25.71948665,24.91212894,25.2031159,25.39569357,25.90012124,25.54017294,25.14204285,24.80566976,25.3826302,25.68033197
neg_00025,25.04516282,23.21482031,23.20275192,24.36006553,23.43518442,25.93694332,24.12589722,23.73935297,24.66879861,25.01640152,25.62611181,23.93021855,23.00875025,23.82480974,24.52862245,24.94473721,23.11396212,23.43932712,23.90873982,23.89650993
neg_00026,23.26991569,22.17415769,22.82691176,22.47981849,23.0314453,23.58522407,22.87911523,22.34349481,23.5652691,23.07487338,24.54089319,23.03358929,22.58225272,23.11144585,23.47032883,23.3859717,22.75908324,22.86247692,23.29281903,22.74418021
neg_00027,25.55706705,24.70389527,25.16387565,25.68972293,24.87503518,26.93408185,25.32586041,24.81088493,25.9470437,26.07423895,25.47898317,24.59915493,24.76756903,25.12731894,25.35189251,26.00511424,24.3283544,24.72436072,24.65771119,24.56707943
neg_00028,24.575539,22.91949977,23.65668123,23.68228282,23.981857,25.63261922,24.09291553,23.5223997,24.84806328,24.70714295,25.33767436,23.98568842,23.3769223,24.14970752,24.28342095,24.62934958,23.70904241,23.73457435,24.4325884,23.79851785
neg_00029,24.545598,23.29736215,23.51314285,24.17702225,23.09617905,25.77499328,24.47548904,23.55009958,25.03070604,24.92952144,25.26820649,23.83105492,21.55114144,24.02435974,24.6119192,24.60698749,21.91047313,23.70821084,24.37060345,24.01053406
neg_00031,24.70997284,23.57318344,23.87386275,24.26876122,24.29285391,25.81083266,24.55475052,24.05752374,25.06525478,25.13819916,25.2631736,24.09801224,23.66140004,24.37503529,24.71926868,24.68145001,23.8548821,24.05867618,24.50444664,24.23015439
neg_00032,24.56514349,23.89107859,23.54751184,24.02499682,24.04979269,25.59878441,24.08219128,23.98672463,24.98843726,25.16198242,25.13905997,23.62485209,24.41730873,24.24873875,24.90935197,24.54580735,23.75932917,23.81977858,24.20334313,24.22230227
neg_00033,16.52351942,20.82626298,22.89259207,15.63606537,15.81399079,17.85460584,24.04263276,16.38912897,16.73852957,17.06406045,25.1085059,21.35120606,14.84657037,15.84724043,16.27106185,15.86732041,14.75294266,15.22759362,15.75033834,16.01976493
neg_00034,24.2980298,25.22416706,25.24769467,24.7035109,25.77001001,24.86328301,25.06377221,26.72790165,25.39092158,25.64733083,25.09289879,24.971542,25.72042925,25.71198438,25.19656903,26.16484014,26.5457824,25.6853941,25.44360684,25.7543408
neg_00035,25.06159458,24.91555202,25.17000016,25.34738291,25.10862037,25.75206348,25.55674195,24.16396617,25.20914962,25.55407043,25.04519381,24.6392972,23.80791514,25.15546678,25.27484158,24.82957234,24.05095857,25.00947875,25.35998734,24.73619893
neg_00036,23.48377749,23.16805938,22.55272974,22.70951687,23.16017509,24.60571788,23.39871719,22.34396741,24.07178128,23.73985987,25.00135316,23.13117524,22.25779557,23.22826804,23.77598955,23.09320632,22.31851895,23.15094782,23.56929138,23.13766283
neg_00037,24.4035653,22.65299246,22.68078174,23.71428833,22.9840343,25.36443701,23.61323759,23.18083029,24.14226831,24.45765131,24.94931816,23.33555631,22.5006929,23.27804011,23.93973377,24.28980274,22.61903045,22.92430195,23.35693456,23.34064349
