Feature_ID,K1A,K2A ,K2B ,K2C,K3A ,K4A ,K5B,K5C,K6A,K6B,TK1A ,TK2A,TK4A,TK4B,TK4C,TK4D,TK5B,TK5C,TK5D,TK5E
395,17.80214307,18.72205888,18.07710236,18.63567474,18.56916168,17.9361792,18.64275642,18.40583811,18.55672948,18.47557843,15.76968467,15.61571534,18.12050395,18.13506307,17.93074052,17.25830673,18.10058354,18.04952247,17.87458002,17.88170407
396,19.53657009,18.2442174,18.82495073,18.63576258,18.915071,19.86984636,18.16164629,18.66276139,19.48655598,19.33707928,17.85855596,18.6154235,20.0819926,19.25211144,19.24325193,19.19232056,18.58797249,18.86821644,18.73450401,18.63897838
6678,12.14550932,11.7895365,11.89949203,11.65071806,11.71509593,12.78814374,12.72659645,12.60253105,12.78043824,12.63087506,14.83474859,13.50732694,14.02699012,14.4960194,14.76506356,14.03084257,13.91325068,14.11981929,13.7585505,14.19166356
6906,13.07510368,12.99702934,12.79993234,12.66868442,12.57692081,12.55024166,12.46265101,12.61196356,12.40322612,12.35169597,13.62087895,14.07590328,13.83408492,13.91196288,13.87585747,13.21915044,13.5464984,14.04753031,13.75525593,13.539001
5643,15.57540253,15.84665703,16.33131321,15.88057098,16.08509991,15.82416589,16.06627786,15.68088704,15.77178938,15.76157308,16.55533801,17.81802699,17.40107099,17.07808435,16.95845585,16.63506007,16.89602829,17.6098456,17.15760118,17.40160337
919,12.19574329,12.39180409,12.90223995,12.95113337,12.92573049,12.61801728,12.10239657,12.510893,11.94208221,12.07327944,13.09932895,17.4297413,14.05207582,14.97011302,14.82833007,13.24757302,16.50139145,13.80386505,16.03330737,13.48199932
7309,17.14658882,17.39044178,17.25671913,17.10250296,17.11937667,17.02202323,17.51549461,17.21328308,17.05104019,17.15950741,17.63792555,18.53850706,18.21215577,18.13568331,18.42521397,18.13808822,18.60724866,18.11290932,18.10879061,18.01593343
920,12.23871566,12.8519931,13.39728075,12.85637084,12.97609959,13.16139655,12.85911687,13.07555136,12.69681651,12.74063864,13.29475471,17.95147527,14.45627888,15.31184246,15.2870699,13.79810513,16.6014719,14.22798607,16.36415194,14.01457181
1738,15.31067174,15.23008305,15.55744114,15.4861655,15.89789621,15.36554206,15.53685435,15.6641692,15.40262596,15.39626597,15.94301612,16.93780421,16.54440395,16.48070896,16.37268848,16.03353778,16.76068378,16.66275493,16.87192558,16.10791655
7894,8.543602354,8.439293458,8.674411894,9.153527409,9.229307496,11.07748661,10.15924267,10.25197941,10.82005018,11.19832459,9.366664355,9.832600272,11.92232848,11.66884126,11.61229442,11.70082031,12.49239746,12.25615417,11.57136538,11.80522816
5094,13.43333897,13.11539654,13.29529931,13.24518971,13.58571821,13.80392211,13.11816823,13.13778081,13.54629025,13.74606888,14.81516633,13.63367407,14.04301105,14.50352329,14.23607141,13.92906832,13.90374036,14.47251446,14.18219642,14.23724542
320,8.195718124,9.037625125,8.236832198,9.159564617,9.783306646,9.893023645,8.904723384,10.37048198,10.10093158,8.756560376,10.7376318,9.445999387,10.08665222,11.19833578,10.81525683,10.20273832,10.5199086,11.19276433,10.446749,9.894012591
6368,14.37045796,14.51335282,14.72177453,14.57429413,14.64426843,14.30164908,14.74922652,14.47572693,14.29633971,14.27754151,14.93756021,15.73370608,15.2480257,14.9413422,14.97998727,14.98489495,15.26443059,15.22041761,15.83800272,15.04715858
1286,15.15762425,15.41422395,15.29893115,15.27778715,15.19156001,15.24213522,15.45925766,15.43817101,15.294517,15.29183493,15.50655906,16.16963711,16.3088406,15.82612944,16.14698786,15.72469678,16.53120263,15.92707824,15.80787374,16.01209665
1842,9.275938889,10.06104254,10.33997548,10.53205992,13.48080189,10.49238497,12.87390975,12.11847078,11.64302375,11.78328854,12.42304344,11.7852609,13.00735896,12.92719113,13.28816717,12.66177078,13.69548811,12.59100209,12.33468263,12.28384337
2650,8.216357059,6.749758069,7.44510061,,6.422850892,,,,,,8.282409043,8.867304804,8.638924928,8.253115994,10.15450896,,,,,
1165,17.32766476,16.6303089,17.35811122,16.82220212,17.43842782,17.22171545,17.37319679,16.8430569,17.42439177,17.50242669,18.1884017,18.48938825,18.44189269,18.13337321,18.08460296,17.35889464,17.56782495,17.71923258,17.33269914,18.37820958
6616,16.87681396,16.85571936,17.06040602,16.7230047,16.9073139,16.747655,16.83832206,16.70217726,16.67289949,16.65142034,17.68779177,18.37629878,17.50455907,17.38722212,17.01052158,17.14710018,17.33597366,17.49881209,17.69569825,17.29683266
380,10.63372711,11.27371303,11.3077664,10.80296246,11.63910946,,,,,,11.47801257,12.26306779,12.54474293,12.45528379,11.89260695,,,,,
5647,8.414898396,8.145151086,8.217064806,7.405798595,8.204448324,,,,,,8.64584422,9.341082869,9.107655698,9.123050963,8.66362907,,,,,
382,17.82292355,17.62044639,17.97640095,17.76698388,17.5832233,17.75778228,17.41417597,17.74004468,17.62235243,17.83245125,18.62277385,18.39531095,18.26063126,18.79132615,18.28275241,17.60271236,18.02701054,19.34257016,18.67785511,18.11296192
263,9.99529473,10.93859312,9.852197417,9.438350986,10.23418298,,,,,,12.87417574,11.05415544,10.70796455,10.50140428,11.97385948,,,,,
1685,15.94765964,15.62469041,16.48976324,16.0717669,16.60265751,15.80941815,16.32774404,16.6882026,16.03151661,16.10822114,16.48739146,17.84677328,16.92925019,16.95676044,16.44615173,16.22151135,17.07161864,16.90248566,17.24175984,16.45357118
5471,8.422617318,7.567846297,8.511717424,6.891256218,7.94640927,,,,,,10.20381801,8.879564491,8.859053368,8.531744526,8.529183248,,,,,
227,11.38824461,11.31922073,11.23645508,11.01372139,11.47096866,12.40427287,12.81704583,12.87580774,12.43194461,12.55865096,11.66325082,12.14181544,13.62185131,13.40401051,13.52106267,13.20996538,12.50557702,12.77815637,12.49896701,12.51564642
1082,8.04407396,8.721061232,8.056691435,8.531631446,8.596092284,10.16666643,9.981500555,10.24670076,9.748038553,10.05000189,9.673229208,10.20671857,10.68297785,10.28606642,10.5030604,10.6384068,9.959147137,9.484087644,9.450743279,9.887675648
716,11.72358004,11.1019006,11.6466415,11.77686036,12.11780249,12.00795082,10.829596,11.00158382,11.84563357,12.01477264,12.11662879,12.89527598,12.30951679,11.99851464,12.26703468,11.81194033,11.5491736,12.39576775,12.41575732,12.45919473
