Feature_ID,row m/z,row retention time,row identity (all IDs),Identity Mapped,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_00001,161.0023814,2.382045041,,,,,,,88,88,100,100,0,0,0
neg_00002,309.1006581,2.374388772,,,,,,,88,88,100,100,0,0,0
neg_00003,134.8944595,4.067281302,,,,,,,19,88,21.59090909,100,0,0,0
neg_00004,138.981684,4.320872137,,,,,,,44,88,50,100,0,0,0
neg_00005,255.2324828,1.14175638,PALMITATE,Palmitate,C16H32O2,C00249,HMDB0000220,985,88,88,100,100,0,1,1
neg_00006,374.244275,1.236858069,,,,,,,88,88,100,100,0,0,0
neg_00007,283.2635203,1.139112181,STEARATE,Stearate,C18H36O2,C01530,HMDB0000827,5281,88,88,100,100,0,1,1
neg_00008,136.8914558,4.066751737,,,,,,,22,88,25,100,0,0,0
neg_00009,154.0573308,3.539658986,,,,,,,88,88,100,100,0,0,0
neg_00010,96.96004516,6.795336693,,,,,,,88,88,100,100,0,0,0
neg_00011,108.0314477,2.704683392,,,,,,,64,88,72.72727273,100,0,0,0
neg_00012,75.00213773,3.260607731,THIOUREA,Thiourea,CH4N2S,C14415,HMDB0034155,2723790,44,88,50,100,0,1,1
neg_00013,190.0935958,4.171726768,,,,,,,88,88,100,100,0,0,0
neg_00014,96.96961172,4.088035127,,,,,,,55,88,62.5,100,0,0,0
neg_00015,162.9981808,2.383067213,,,,,,,79,88,89.77272727,100,0,0,0
neg_00016,194.9270244,6.795243378,,,,,,,88,88,100,100,0,0,0
neg_00017,259.8388904,6.798627694,,,,,,,88,88,100,100,0,0,0
neg_00018,83.03624395,2.885071191,,,,,,,40,88,45.45454545,100,0,0,0
neg_00019,110.9755978,2.401164327,,,,,,,88,88,100,100,0,0,0
neg_00020,178.965299,2.37891977,,,,,,,88,88,100,100,0,0,0
neg_00021,248.0794942,2.359817416,,,,,,,88,88,100,100,0,0,0
neg_00022,151.037316,2.373538707,,,,,,,27,88,30.68181818,100,0,0,0
neg_00023,196.8850641,6.836240273,,,,,,,88,88,100,100,0,0,0
neg_00024,309.1007628,1.325654877,,,,,,,30,88,34.09090909,100,0,0,0
neg_00025,135.8944892,4.060554016,,,,,,,23,88,26.13636364,100,0,0,0
neg_00026,239.059213,1.249802586,,,,,,,88,88,100,100,0,0,0
neg_00027,157.0502918,2.368811631,,,,,,,88,88,100,100,0,0,0
neg_00028,143.0346935,2.373430819,,,,,,,88,88,100,100,0,0,0
neg_00030,98.96674796,4.074258358,,,,,,,81,88,92.04545455,100,0,0,0
neg_00031,157.1230912,1.208372485,NONANOATE,Nonanoate,C9H18O2,C01601,HMDB0000847,8158,88,88,100,100,0,1,1
neg_00033,103.0148077,3.273414792,,,,,,,88,88,100,100,0,0,0
neg_00034,171.06598,2.362253641,,,,,,,88,88,100,100,0,0,0
neg_00035,87.04511341,2.382214114,2-METHYLPROPANOATE,2-Methylpropanoate,C4H8O2,C02632,HMDB0001873,6590,67,88,76.13636364,100,0,1,1
neg_00036,311.0966003,2.374963194,,,,,,,88,88,100,100,0,0,0
neg_00039,121.9551929,4.32158612,,,,,,,36,60,40.90909091,68.18181818,0,0,0
neg_00040,121.0293523,2.377933711,SODIUM BENZOATE,Benzoate,C7H6O2,C00539,HMDB0001870,243,88,88,100,100,0,1,1
neg_00041,127.1126427,2.379960789,,,,,,,45,88,51.13636364,100,0,0,0
neg_00042,87.00868584,2.385469946,PYRUVATE,Pyruvate,C3H4O3,C00022,HMDB0000243,1060,40,88,45.45454545,100,0,1,1
neg_00043,143.0030483,2.377573487,,,,,,,45,63,51.13636364,71.59090909,0,0,0
neg_00045,85.02943602,2.378203548,,,,,,,88,88,100,100,0,0,0
neg_00046,132.9000092,4.059526996,,,,,,,28,88,31.81818182,100,0,0,0
neg_00047,151.0371611,3.242315452,,,,,,,36,88,40.90909091,100,0,0,0
neg_00049,143.107488,1.258186889,CAPRYLIC ACID,Caprylic acid,C8H16O2,C06423,HMDB0000482,379,88,88,100,100,0,1,1
neg_00050,137.8915878,4.060161708,,,,,,,25,88,28.40909091,100,0,0,0
neg_00051,140.9775185,4.325535665,,,,,,,31,51,35.22727273,57.95454545,0,0,0
neg_00052,101.0606554,2.378360274,,,,,,,88,88,100,100,0,0,0
neg_00053,150.0557645,2.378351499,,,,,,,63,88,71.59090909,100,0,0,0
neg_00054,242.1757271,1.263807382,,,,,,,88,88,100,100,0,0,0
neg_00055,227.2013585,1.150656155,MYRISTIC ACID,Myristic acid,C14H28O2,C06424,HMDB0000806,11005,82,88,93.18181818,100,0,1,1
neg_00056,311.1679934,1.114026877,,,,,,,88,88,100,100,0,0,0
neg_00057,237.1241021,2.351663352,,,,,,,83,88,94.31818182,100,0,0,0
neg_00059,133.9915634,2.376050378,,,,,,,88,88,100,100,0,0,0
neg_00060,129.0555247,2.377999589,,,,,,,84,88,95.45454545,100,0,0,0
neg_00061,208.9342018,4.07438857,,,,,,,48,88,54.54545455,100,0,0,0
neg_00063,117.0555662,2.376663406,,,,,,,88,88,100,100,0,0,0
neg_00064,160.9647159,2.382440267,,,,,,,22,88,25,100,0,0,0
neg_00065,179.8825865,6.801769125,,,,,,,54,88,61.36363636,100,0,0,0
neg_00066,112.0150985,2.377392071,,,,,,,82,88,93.18181818,100,0,0,0
neg_00068,115.0762855,1.321983647,,,,,,,88,88,100,100,0,0,0
neg_00069,241.0718092,2.36352828,LUMICHROME,Lumichrome,C12H10N4O2,C01727,HMDB0254199,506,88,88,100,100,0,1,1
neg_00070,110.0245633,2.341017691,"2,6-DIHYDROXYPYRIDINE;PYRROLE-2-CARBOXYLATE","2,6-Dihydroxypyridine|Pyrrole-2-carboxylate",C5H5NO2|C5H5NO2,C03056|C05942,|HMDB0004230,69371|12473,88,88,100,100,0,1,1
neg_00071,164.0714629,1.327266108,,,,,,,58,88,65.90909091,100,0,0,0
neg_00074,168.9991089,2.395020849,,,,,,,84,88,95.45454545,100,0,0,0
neg_00075,162.0017439,2.381275219,,,,,,,25,88,28.40909091,100,0,0,0
neg_00076,325.1837065,1.109672901,,,,,,,88,88,100,100,0,0,0
neg_00077,115.0398619,2.370024547,,,,,,,88,88,100,100,0,0,0
neg_00078,242.1757314,2.364012662,,,,,,,88,88,100,100,0,0,0
neg_00080,161.9991535,2.383619196,,,,,,,24,88,27.27272727,100,0,0,0
neg_00082,115.0762617,2.375329398,,,,,,,88,88,100,100,0,0,0
neg_00085,155.0347879,2.369157562,,,,,,,50,88,56.81818182,100,0,0,0
neg_00086,161.0400655,2.381855782,,,,,,,12,88,13.63636364,100,0,0,0
neg_00087,143.0711287,2.377628065,,,,,,,69,88,78.40909091,100,0,0,0
neg_00088,146.9081836,2.378999867,,,,,,,88,88,100,100,0,0,0
neg_00090,157.0867386,2.378082374,,,,,,,84,88,95.45454545,100,0,0,0
neg_00091,260.8389032,6.79905872,,,,,,,68,88,77.27272727,100,0,0,0
neg_00092,122.0245818,2.368754895,NICOTINATE,Nicotinate,C6H5NO2,C00253,HMDB0001488,938,13,88,14.77272727,100,0,1,1
neg_00093,313.0777772,1.194452959,,,,,,,85,88,96.59090909,100,0,0,0
neg_00094,167.8362414,4.042701639,,,,,,,88,88,100,100,0,0,0
neg_00095,169.8333674,4.039110636,,,,,,,85,88,96.59090909,100,0,0,0
neg_00096,95.9759935,4.321889012,,,,,,,22,58,25,65.90909091,0,0,0
neg_00097,135.0449946,1.325664927,PHENYLACETIC ACID,Phenylacetic acid,C8H8O2,C07086,HMDB0000209,999,88,88,100,100,0,1,1
neg_00098,216.9090246,6.795611375,,,,,,,88,88,100,100,0,0,0
neg_00099,253.2168074,1.141596494,PALMITOLEIC ACID,Palmitoleic acid,C16H30O2,C08362,HMDB0003229,445638,84,88,95.45454545,100,0,1,1
neg_00100,246.056675,4.075642771,,,,,,,88,88,100,100,0,0,0
neg_00101,223.0279377,1.249871769,,,,,,,88,88,100,100,0,0,0
neg_00102,154.9588111,3.18453694,,,,,,,25,44,28.40909091,50,0,0,0
neg_00103,120.9712469,8.707441178,,,,,,,6,88,6.818181818,100,0,0,0
neg_00104,84.02021032,3.534558714,,,,,,,18,88,20.45454545,100,0,0,0
neg_00105,437.2398302,1.246625293,,,,,,,12,88,13.63636364,100,0,0,0
neg_00106,153.8683501,4.089780695,,,,,,,74,88,84.09090909,100,0,0,0
neg_00108,325.0957496,1.333328657,,,,,,,88,88,100,100,0,0,0
neg_00109,323.0798792,1.332882303,,,,,,,88,88,100,100,0,0,0
neg_00110,178.0506641,1.330735571,HIPPURATE,Hippurate,C9H9NO3,C01586,HMDB0000714,464,88,88,100,100,0,1,1
neg_00112,420.2498402,1.235120494,,,,,,,2,88,2.272727273,100,0,0,0
neg_00114,325.0957132,2.391726812,,,,,,,80,88,90.90909091,100,0,0,0
neg_00115,146.9259987,0.027341434,,,,,,,2,2,2.272727273,2.272727273,0,0,0
neg_00116,142.0506834,1.332862908,,,,,,,35,88,39.77272727,100,0,0,0
