"","neg_00005","neg_00007","neg_00012","neg_00031","neg_00035","neg_00040","neg_00042","neg_00049","neg_00055","neg_00069","neg_00070","neg_00092","neg_00097","neg_00099","neg_00110","neg_00121","neg_00122","neg_00145","neg_00151","neg_00164","neg_00175","neg_00177","neg_00196","neg_00205","neg_00223","neg_00227","neg_00228","neg_00231","neg_00232","neg_00233","neg_00235","neg_00236","neg_00240","neg_00242","neg_00245","neg_00246","neg_00252","neg_00254","neg_00255","neg_00256","neg_00259","neg_00261","neg_00262","neg_00268","neg_00270","neg_00272","neg_00276","neg_00277","neg_00280","neg_00281","neg_00285","neg_00289","neg_00290","neg_00291","neg_00294","neg_00297","neg_00298","neg_00301","neg_00306","neg_00308","neg_00312","neg_00326","neg_00344","neg_00350","neg_00355","neg_00361","neg_00369","neg_00382","neg_00384","neg_00387","neg_00403","neg_00412","neg_00417","neg_00418","neg_00424","neg_00435","neg_00447","neg_00457","neg_00463","neg_00467","neg_00472","neg_00474","neg_00489","neg_00491","neg_00500","neg_00509","neg_00520","neg_00525","neg_00553","neg_00554","neg_00565","neg_00572","neg_00597","neg_00602","neg_00631","neg_00637","neg_00642","neg_00657","neg_00689","neg_00691","neg_00714","neg_00788","neg_00835","neg_00843","neg_00847","neg_00851","neg_00890","neg_00906","neg_00931","neg_00932","neg_00981","neg_01017","neg_01033","neg_01036","neg_01047","neg_01065","neg_01074","neg_01075","neg_01079","neg_01080","neg_01081","neg_01083","neg_01088","neg_01090","neg_01103","neg_01131","neg_01133","neg_01140","neg_01141","neg_01152","neg_01154","neg_01155","neg_01162","neg_01172","neg_01183","neg_01206","neg_01232","neg_01263","neg_01272","neg_01288","neg_01299","neg_01317","neg_01334","neg_01414","neg_01415","neg_01419","neg_01423","neg_01433","neg_01440","neg_01452","neg_01468","neg_01495","neg_01507","neg_01515","neg_01543","neg_01593","neg_01625","neg_01631","neg_01633","neg_01637","neg_01656","neg_01660","neg_01663","neg_01667","neg_01670","neg_01688","neg_01693","neg_01713","neg_01747","neg_01761","neg_01796","neg_01820","neg_01839","neg_01844","neg_01846","neg_01866","neg_01948","neg_01965","neg_01994","neg_01996","neg_01997","neg_02129","neg_02138","neg_02140","neg_02240","neg_02250","neg_02283","neg_02287","neg_02348","neg_02417","neg_02425","neg_02426","neg_02433","neg_02434","neg_02439","neg_02485","neg_02520","neg_02571","neg_02689","neg_02697","neg_02730","neg_02743","neg_02751","neg_02791","neg_02800","neg_02808","neg_02813","neg_02819","neg_02945","neg_02956","neg_02959","neg_02960","neg_02966","neg_02981","neg_02999","neg_03049","neg_03097","neg_03129","neg_03140","neg_03165","neg_03236","neg_03353","neg_03408","neg_03440","neg_03444","neg_03527","neg_03544","neg_03701","neg_03781","neg_03904","neg_04035","neg_04165","neg_04189","neg_04205","neg_04366","neg_04402","neg_04408","neg_04426","neg_04440","neg_04451","neg_04513","neg_04730","neg_04838","neg_04974","neg_05053","neg_05184","pos_00001","pos_00002","pos_00003","pos_00004","pos_00005","pos_00006","pos_00007","pos_00008","pos_00012","pos_00013","pos_00015","pos_00020","pos_00022","pos_00024","pos_00025","pos_00030","pos_00032","pos_00033","pos_00035","pos_00039","pos_00041","pos_00044","pos_00048","pos_00049","pos_00055","pos_00056","pos_00057","pos_00059","pos_00061","pos_00065","pos_00071","pos_00090","pos_00095","pos_00096","pos_00097","pos_00106","pos_00108","pos_00109","pos_00114","pos_00117","pos_00126","pos_00128","pos_00131","pos_00138","pos_00139","pos_00142","pos_00143","pos_00154","pos_00156","pos_00160","pos_00167","pos_00170","pos_00189","pos_00203","pos_00219","pos_00223","pos_00241","pos_00257","pos_00260","pos_00271","pos_00292","pos_00296","pos_00307","pos_00384","pos_00393","pos_00399","pos_00400","pos_00410","pos_00424","pos_00432","pos_00493","pos_00505","pos_00520","pos_00524","pos_00548","pos_00551","pos_00559","pos_00566","pos_00573","pos_00574","pos_00578","pos_00606","pos_00647","pos_00669","pos_00671","pos_00703","pos_00709","pos_00767","pos_00778","pos_00795","pos_00828","pos_00916","pos_00917","pos_00942","pos_00947","pos_00951","pos_00972","pos_00983","pos_01004","pos_01005","pos_01017","pos_01096","pos_01110","pos_01114","pos_01126","pos_01127","pos_01130","pos_01143","pos_01173","pos_01176","pos_01239","pos_01249","pos_01268","pos_01289","pos_01297","pos_01299","pos_01315","pos_01339","pos_01343","pos_01353","pos_01365","pos_01375","pos_01381","pos_01403","pos_01418","pos_01419","pos_01451","pos_01459","pos_01562","pos_01575","pos_01581","pos_01589","pos_01629","pos_01684","pos_01749","pos_01774","pos_01781","pos_01882","pos_01901","pos_01918","pos_01950","pos_01972","pos_01994","pos_02071","pos_02083","pos_02105","pos_02118","pos_02150","pos_02188","pos_02197","pos_02203","pos_02272","pos_02362","pos_02363","pos_02439","pos_02442","pos_02524","pos_02580","pos_02701","pos_02742","pos_02748","pos_02778","pos_02882","pos_02911","pos_02928","pos_02952","pos_02975","pos_02997","pos_03025","pos_03034","pos_03048","pos_03209","pos_03290","pos_03397","pos_03487","pos_03552","pos_03593","pos_03724","pos_03730","pos_03734","pos_03785","pos_03840","pos_03848","pos_03892","pos_03991","pos_04016","pos_04019","pos_04064","pos_04124","pos_04142","pos_04180","pos_04224","pos_04228","pos_04264","pos_04342","pos_04403","pos_04500","pos_04511","pos_05013","pos_05143","pos_05533"
"neg_00005",NA,-0.306014636119716,0,0,0,0,0,0,-0.299864856134188,0,0,0,0,-0.0660193632258969,0,0,0,0,0,0,-0.122991388495684,0,0,-0.130925804545728,0,0,0,0,0,0,0,-0.118508261884574,0,0.0375378003457144,0,0,0,0,0,0.00945063102051951,0,0.00560462886923294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0954412701568533,0,0,0,0,0.0224722653227314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00357195807246053,0,0,0,0,0,0,0,0,0,0,0.0347055468297644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131617717532623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00903177903231698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199022097757589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136521045145284,0.00801553666276883,0,0,0,0,0,0,0,0,0,-0.0356292508209009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00260974767282588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219773184951887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488587421733685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263669502787169,0,0,-0.00460889753472823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415669976851125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330862299543799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neg_00007",-0.306014636119716,NA,0,0,0,0,0,0,-0.0230219407932136,0,0,0,0,0,0,-0.0393423279610612,0,0,-0.052496144243975,0,-0.192511870123286,0,0,-0.00731300534318958,0,-0.0463439137891327,0,0,0,0,0,0,0,0,0,0,0.0222744923436796,0,0,0,0,0.0250763663886413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387536224060243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00318107956693623,-0.0760390206961283,0,0,0,0,0,0,0,0,-0.213906858990229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406875268140101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135502266824962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048455011777902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433891001809453,0,0,0,0,0,0,0,0,0.0315516726558276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150697358733345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401481263940006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460248974220576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0094022785772612,0,-0.00292503784837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0427038053971034,0,0,0,0,0,0.00538063124175096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neg_00012",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0696901678676502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108523427797783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00997789058554751,0,0,0,0,0,0,0,0,-0.0433100531489896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0354268236229521,0,0,0,0,0,0,0.00959351582425466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00627229969155028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00750207812571753,0,0,0,0,0,0,0,0,0,-0.026492507203921,0,0,0,0,0.0186590719806574,-0.0211338113187036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218912459339787,0,0,0,0,0,0.00368480015646628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026825846903195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833847021327911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.657159461814646,0,0,0,0.0167449619379711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neg_00031",0,0,0,NA,0,0,0,-0.00227271997957414,0,-0.0713063052146639,0,0,-0.0610606509184744,0,0,0,-0.274059846414177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0332210977492241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333241435718258,0,0,0,0,0,0,0,0,0,0,0,-0.0252246846597766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00810054079428956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631239370052747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429373168900515,0,0,0,0,-0.0158280654475231,0,0,0,0,0,0,0,0,0.0312271068356347,0.00184124696715114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438263936741734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374656600892376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363676343286436,0.016650079923676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429409888824571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134953027166963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neg_00035",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,-0.0724396066574038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0239324413001739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189733586955159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00840298296008883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0349498684419182,0,0,0,0,0,0,0,0.0156947144796122,-0.0165058642866695,0,-0.044145690203644,0,0,0,0,0,0,0,-0.00208490635137749,0,0,0,0,0,0,0,-0.010748958185417,0,0,0,0,-0.016074790157383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0670505785482321,-0.045823958592181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00741520589740227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113037672701754,0,0,0,0,0,0,0,0,0,0,0,0,0.00543762070798345,0,0,0,0,0,0,0.00432595092190811,0,0,0,0,0,0,0,0,0,0,0,0,0.0130215547050932,0,0,0,0,0,0,0.0277031127175578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566841579840619,0,0,0,0,0,-0.00723838870436891,0,0,0,0.00228791501491381,0.0549604580354147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412052519136976,0,0,0,0,0,0,0.0115927467817159,0,0,0,0,0,0,0,0,0,0,0,-0.00602082403781476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370341739857517,0,0,0,0,0,0,0,0,0.0403819139912751,0,0,0,0,0,0,0,0,0,0,0.0481921366141083,0.0206054150728907,0,0,0.0477207814524791,0,0,0,0,0,0,0,0,0,0,0
"neg_00040",0,0,0,0,0,NA,0,-0.0434464274981528,0,0,0,0,-0.00750685749312046,0,-0.0422265651394003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00729931776257061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00301003980396122,0,-0.0716714981531862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245235921956309,0,0,0,0,-0.00686849798723574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018936663364673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154560439160966,0,0,0,0,0,0,0,-0.030720444086724,0,0,0,0,0,0,0,0,0,0,0,-0.0595653519572006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000713411172346241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341090411970776,0,0,0,0,0,0,0,0,0,0,0,-0.000528726850728683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326327290454949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00395616955529254,0,0,0,0.0671977598060098,0,0,0,0,-0.00806789692393998,0,0,0,0,0,0,0,0,0,0,0,0.0335487684535623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00603291307785499,0,0,0,0,0,0,0
"neg_00042",0,0,0,0,0,0,NA,0,0,-0.00577069337446258,-0.0932392847621185,0,0,0,0,0,0,0,0,0,0,-0.0195128994854201,0,0,0,0,0,0,-0.00350680025341982,0,0,0,0,0,0,0,0,0,-0.0720842807625728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216251763245982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329374622555668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169477087740053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105464943465406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137841544258458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130362381003287,0,0,0,0,0,0,0,0.0735810326366362,0,0.00447844823128636,0,0,0,0,0,0.0183434526574363,0,0,0,0,0,0.0332972483758686,0,-0.0276986570493511,0,0,0,0,0,0,-0.127115139242533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00864684883581065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200816403609375,0,0,0,0,0,0,0,0,0,0,0,0,-0.0093377641684883,0,0,0,0,0,-0.00604150125862363,0,0,0,0,0,0,0,0,0.0296696466928549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302406158473134,0,0,0,0,0,0,0.0161587804963959,0,0,0,0.020369976508948,0,0,0,0,0,0.0416048025660124,0,0,0,-0.0173716166073356,0,0,0,0,0,0,0,0,0,0.0032531574379103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213070761890129,0,0,0,0,0,0,0
"neg_00049",0,0,0,-0.00227271997957414,0,-0.0434464274981528,0,NA,0,0,0,0,0,0,0,-0.114534017252846,-0.0446143579121645,0,-0.287326681202368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13491830877234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00788855483500014,0,0,0,0,0,0,0,0,-0.0506903940898981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05166735678024,0,0,0,-0.00150189781475967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162989946648223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111908147026948,0,0,0,0,0,0,0,0,0,-0.0204352233403085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158706329817682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0288751085545511,0,0,0,0,0,0,0,0,0,0,0,0.0189919219901624,0,0,0,0,0,0,0,0,0,0,0.0261042205027804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326233619984905,0,0,0,0,0,0,0,0,0,0,0.0286957991296784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540220618863315,0,0,0,0,0,0.028346474271977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00852191633851218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123593528987048,0,0,0.0299999715210389,0,0,0,0,0,0,0,0,0,0,0
"neg_00055",-0.299864856134188,-0.0230219407932136,0,0,0,0,0,0,NA,0,0,0,0,-0.249989081556401,0,-0.260704528830795,0,0,-0.00787991426706157,0,-0.0557556672978138,0,0,-0.0613422305695354,0,0,0,0,0,0,0,-0.142182014680359,0,0,0,0,0,0,0,0,0,0.00215288883891013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103733675396672,-0.00224951061938664,0,0,0,0.0182117799618675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123752225073518,0,0,0,0,0,0,0,0,0.0333328974683248,0,0,0,0,0,0.0225439023806334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135080331210565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182563642657473,0,0,0,0,0,0,0,0,0,0,-0.0417211973306982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173156494543074,0,0,-0.000162068687636649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00223322771505279,0,0,0.0127173725748447,0,0,0,0,0,0,0,0,0,0,0
"neg_00069",0,0,0,-0.0713063052146639,0,0,-0.00577069337446258,0,0,NA,-0.0096870584774177,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0668016313133859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325182057961745,0.0721463894257727,0,0,0,0.017658470265035,0,0,0,0,0.00597553226213219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.498173772364706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189468295868958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164001007636291,0,0,0.0352727551771411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270072432057591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160979675275709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017853977395271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294531930494384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00872290555665182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111225084365795,0
