Feature_ID,06S19028714,06S19028731,06S19028712,06S19028751,06S19028708,06S19028680,06S19028759,06S19028772,06S19028687,06S19028771,06S19028733,06S19028706,06S19028755,06S19028691,06S19028685,06S19028702,06S19028735,06S19028704,06S19028727,06S19028694,06S19028700,06S19028701,06S19028711,06S19028681,06S19028709,06S19028715,06S19028724,06S19028766,06S19028695,06S19028748,06S19028718,06S19028743,06S19028744,06S19028710,06S19028764,06S19028739,06S19028738,06S19028723,06S19028769,06S19028675,06S19028774,06S19028767,06S19028703,06S19028757,06S19030077,06S19028725,06S19028696,06S19028697,06S19028713,06S19028707,06S19028688,06S19028758,06S19028692,06S19028762,06S19028722,06S19028686,06S19028737,06S19028770,06S19028730,06S19028768,06S19028750,06S19028676,06S19028726,06S19028683,06S19028763,06S19028705,06S19028720,06S19028765,06S19028741,06S19028760,06S19028698,06S19028756,06S19028690,06S19028747,06S19028719,06S19028678,06S19028749,06S19028746,06S19028753,06S19028752,06S19028732
neg_00005,25.87917982,24.85307277,24.62187158,26.28663456,25.73731416,24.9915854,25.60093646,25.1932972,26.06725812,25.47426392,24.89241033,24.85980078,25.41507196,25.34382675,25.06417107,24.80511212,26.54275126,25.32912118,24.65773837,25.28024039,25.66570249,25.9146003,25.33356869,24.71002565,25.52276761,25.33584362,24.90625067,24.90991052,25.21183609,25.8827008,26.49698754,25.57826439,24.56323861,25.4219474,25.26109549,25.02418509,26.23324948,25.14398809,25.79508665,25.05042637,24.36377306,25.55787124,24.95342317,25.93406765,25.40502656,24.93464132,25.27188812,26.06583066,26.04753082,24.93542858,25.29460182,25.56110281,25.28899879,25.48807364,25.65423117,24.99295296,25.9313079,24.6902785,25.91730425,26.4551986,25.53692233,24.86015679,25.0213748,25.78537464,25.48258743,26.50305096,24.92860052,25.11806669,25.98772124,25.08009134,24.56202048,25.53789032,25.80450507,25.53867724,24.87367742,25.79414082,25.5831705,26.55583436,24.78708267,25.93467954,25.08489527
neg_00007,24.98644103,24.30637457,23.86604999,25.44640911,24.82128911,24.10702662,24.70190202,24.35982104,24.91019563,24.52389396,24.09331964,24.08585626,24.52286044,24.10960834,24.00213532,24.09470619,26.25775662,24.2621776,24.21512004,24.09001472,25.09506417,24.99000156,24.45120633,23.99467453,24.72162053,24.44818578,24.18878302,23.88444139,24.24814237,25.08550462,25.68376841,24.64582687,23.73046043,24.69832878,24.52630271,24.17831649,24.70260424,24.45891534,24.43085799,24.40064123,23.6210224,24.44129712,24.24371563,24.73295963,24.41484685,24.22052857,24.13067492,24.74989717,25.22174528,24.16588323,24.24641303,24.5318392,24.49497421,24.52492305,24.33896434,24.07145097,25.01985981,24.09070516,24.98234288,24.54370667,24.7876148,23.94449367,24.44939823,24.63971812,24.55505854,26.26198464,24.47590901,24.60932183,25.67527684,24.15137789,23.8514152,24.37553725,24.84143544,24.95961222,24.14010551,24.95671023,24.96850909,25.00849064,24.04822815,24.39881323,24.35639521
neg_00012,15.96544457,20.2416146,15.82987863,21.39175803,16.72850525,16.32144404,21.7083248,16.20104874,16.14809641,16.19508281,20.19020752,16.2756439,21.51545702,16.17280419,16.42650743,16.06411287,20.61178133,16.37746117,19.55932251,16.61453766,15.94339554,16.25613771,16.05813581,16.65230594,16.15247615,15.86088802,18.67190118,21.93648193,16.35114973,21.06108771,16.1012837,21.14031123,20.82113542,16.72181755,21.93264079,20.7550672,20.75862249,17.56006711,16.77631766,16.21110776,16.41811476,21.63530237,16.43506771,22.42202888,16.31337115,18.47378497,16.40366376,16.19463571,16.20518648,16.31220106,16.24399377,21.97956479,16.31115704,21.96038745,18.05486991,16.51246254,20.5043732,16.34424976,20.20891876,22.12907449,21.12543669,16.08704227,18.96733174,16.68932288,21.95623806,16.86943012,17.74370099,21.65363894,20.7785333,21.69547821,16.49087475,21.64482268,16.44147029,21.04197703,17.57291413,16.31639299,21.52853572,20.87986811,21.41132863,21.58436775,20.09182474
neg_00031,20.37504598,20.88465026,20.97283861,21.42147464,21.30906913,20.70781974,20.77307392,21.16101481,20.66848684,20.90997263,21.63641372,20.31068104,20.76633859,20.92432968,21.15882365,20.74818378,21.512441,20.56284114,20.89451786,20.8957779,20.69370355,20.68271117,20.85243264,20.92918287,20.42938832,20.7269735,21.16071082,20.66360893,20.52849439,20.87505283,20.85877997,21.22529015,20.77279551,21.04489476,20.51749215,21.21958048,21.39746145,21.55941532,22.02271879,21.64808572,20.76429249,20.35220163,21.0595995,21.07462927,20.68968285,21.36355581,20.6964876,20.60145483,21.07289136,21.95751064,21.46871872,21.31284533,20.51972207,20.81478973,21.23504099,21.60303662,21.18467356,21.21664136,21.56017251,20.60602753,20.89226118,20.66810157,20.95106179,20.67750904,21.09201297,21.31009991,21.0219961,20.19137365,21.33483651,20.73457594,21.07194586,21.14775217,20.99360232,21.32939193,21.08952509,20.92630175,21.13659847,21.51245284,21.31944736,20.73025631,20.76867646
neg_00035,21.58010647,20.51452727,20.67567523,20.29594599,20.46354508,20.74990595,20.34968395,20.51427557,20.57482099,21.35605256,20.68206054,20.21244257,20.41018862,20.77587347,20.42094702,20.88901403,21.20330022,20.74987885,20.32021275,20.66592976,21.22787919,21.62594701,20.13431697,21.2580846,20.67887931,20.61917222,20.74337375,20.14790871,20.53518453,20.03389745,21.7415218,20.42734692,21.00864105,20.8453638,20.50623587,20.54756985,20.53630061,21.11304793,20.54438425,20.49666144,20.18590511,21.20503319,21.83663772,20.74103096,20.68008997,20.25638803,21.02512019,20.97583362,20.95114051,20.51833385,20.34227423,20.5617298,20.41180339,20.41573992,20.37897817,20.92149507,20.6792436,21.77650502,21.31276103,20.4865549,20.27189385,20.39571511,20.14255854,21.76638784,21.16463275,20.94779467,20.5476161,20.76524096,21.17623239,20.99478268,23.03195712,22.49618213,21.60790846,20.42533232,20.97923266,21.88358784,20.88721255,20.59453292,20.67550579,20.41460415,20.21440275
neg_00040,20.14842962,19.68913132,19.42778288,20.21082424,20.51425636,19.54573932,19.92565657,20.5533117,19.81804071,21.30970781,20.38259009,20.73570146,20.50416767,19.7247693,20.15217912,19.4955403,21.68456318,19.96743499,19.6763049,20.07304735,19.50486583,21.032758,20.00058023,19.72753643,19.71086186,19.71821484,20.48555549,20.12538275,20.31721747,20.0313917,19.54245858,20.49815408,19.7184315,21.06588714,20.86898307,20.29902613,20.78129024,21.13085123,20.96997445,20.47708087,20.86402746,20.27250562,20.93406657,20.66561768,20.1331385,21.58495482,21.30095113,19.81896768,20.74704497,19.62919502,19.6958292,20.40740903,21.96403578,20.52492497,19.75945794,22.13672872,20.13429985,21.21015454,20.8582434,19.99424188,20.41379821,22.13757598,20.18215423,20.19845259,20.1422116,21.26094471,20.49885763,20.12011941,20.2476855,20.28305682,20.12400501,22.01170693,19.87954466,20.35332376,21.13841681,20.19132661,20.88041709,20.093501,20.7970067,21.20129725,20.19615721
neg_00042,21.5665951,23.18826657,21.46644304,23.04214266,24.32423527,21.26430441,22.49012662,22.68880007,21.05185172,21.27668004,23.8476044,23.50537033,23.55265084,21.9244083,23.42433546,23.13462369,24.57087623,22.43350226,22.6318749,24.2813156,21.84242076,21.750449,22.61052811,22.10764348,22.4294346,22.51896082,22.51043827,22.00698273,23.20523543,22.42270851,21.9141523,23.94317417,21.04973445,22.56132973,22.74491512,23.08216084,23.89774402,22.30477796,22.84834495,24.82905991,21.78642958,22.18777313,24.04785863,24.89266049,23.35318237,22.59210153,24.31686668,21.76197178,21.68558491,22.77145482,23.24765019,23.35949964,22.74273528,22.98028593,21.03838234,22.78423155,21.73775129,22.88835851,22.4464607,23.05444824,23.45349975,22.77730591,24.12546896,21.92928029,21.43796906,24.83184381,22.76072249,22.1738042,22.12776181,22.71726123,22.7979839,22.48751485,22.39172065,21.49272417,23.50884273,21.70630086,23.35449902,22.83303582,22.1998006,23.13410536,23.38848508
neg_00049,20.56995232,20.13858835,20.17064217,20.6544253,20.83119421,20.52307077,20.85712771,21.67286067,21.42166365,21.12929399,20.33050586,19.90169422,20.94697718,21.15149059,20.61660105,20.50569324,24.07147301,21.0951347,19.88365347,20.85566697,22.32565417,21.01798273,21.04513946,21.4425933,20.77225793,21.16681248,20.98951247,20.33509749,20.49819144,20.59111684,21.2655731,20.80706352,20.45944235,21.13605306,21.2188236,20.91879168,21.1400334,21.52520918,21.56728144,21.18802528,20.48289701,21.11545955,21.76048617,21.87933976,21.05393588,20.19170391,21.22632399,21.13717772,21.55345312,20.65593986,22.44084957,22.04893789,21.47878484,22.06518357,20.97808331,21.37919733,20.86944895,21.48373385,21.55478713,20.48949615,21.16656702,21.69837687,20.79177466,20.77879228,20.59782374,22.222933,19.9118481,20.47545702,23.44693536,21.33558915,20.96655583,21.88177092,21.39324525,20.84735648,22.08521416,21.03357129,20.70442414,21.45448706,21.19833472,21.21075965,21.24703323
neg_00055,21.78615536,20.38385623,21.2095175,22.03290613,22.005214,20.79125414,21.71195857,20.76879512,22.15527297,22.00479557,20.49869123,20.56537878,21.17393177,21.82389869,21.9210573,21.09737126,23.14223537,21.27963019,20.21000574,21.54930179,21.61232884,21.71462892,21.32791823,21.03489048,21.67411225,21.52451181,20.66086452,20.96721616,21.42931485,21.85458326,22.3490581,21.52405132,20.60030436,21.12541445,21.15979038,20.88318187,22.67318802,21.04381141,22.28510327,21.00666959,20.16425042,22.25393201,20.89569924,21.91060512,22.16287806,20.80993575,21.33675279,22.13316711,22.49457478,20.92288827,21.4447837,21.39723365,21.35175712,21.54587734,22.05421901,21.2646897,22.35749123,20.81547833,21.96064052,22.68317676,21.25681631,20.83669161,21.28674379,22.2191982,21.36881147,22.225406,20.44172038,21.17298025,22.88595804,20.915746,20.42534636,21.41079128,21.44893757,21.74302412,20.92134944,22.59244178,21.28663924,22.5550838,20.66877547,22.61939418,21.07028388
neg_00069,18.88216894,20.30858749,19.80551833,19.38550387,19.5347598,19.0032234,18.91198765,19.14398562,18.76226251,19.13775428,19.89546813,18.70946665,19.27737486,18.3874943,18.88127215,18.69482518,19.4545916,19.17217179,19.01562805,19.05848518,18.86031686,18.95560695,19.22713223,18.88166559,20.29348123,18.89577269,19.27405431,18.95327571,18.76814049,18.87533102,19.88686214,20.12367483,19.07134795,19.73979556,19.48690378,19.61737965,19.88494483,19.47124113,19.90461899,19.34147381,18.96343678,18.70243719,18.96517252,20.27953109,18.91345674,19.32108197,19.18128877,18.81860519,19.07604666,19.574763,19.36125717,19.51765778,18.77952542,19.21639898,19.03112289,19.03519586,19.18944025,19.27933496,19.53084686,18.9892875,19.61578698,18.57968336,19.77687748,18.85152929,18.9126554,19.12472613,19.39509065,18.80321639,19.18967791,19.18879379,18.93411839,19.2860995,18.78361959,20.66771699,19.68632923,19.22005347,19.41459583,18.8421382,18.9227307,19.38200755,19.71784997
