"","feature","cluster","col","feature_name","feature_map","enriched_Term","enriched_Overlap","enriched_Genes","enriched_P.value","enriched_Adjusted.P.value","enriched_GO"
"1","NAT2","cluster_000369","#22A785FF","NAT2","","Regulation Of Striated Muscle Tissue Development ","1/6","MRTFB",0.00538846593898824,0.0739344122611237,"GO:0016202"
"2","ADA","cluster_000246","#2A778EFF","ADA","","Positive Regulation Of Lipid Catabolic Process ","2/20","DAGLB;ABCD1",0.000216835630439027,0.032525344565854,"GO:0050996"
"3","AKT3","cluster_000104","#443A83FF","AKT3","","Negative Regulation Of Toll-Like Receptor Signaling Pathway ","2/13","TYRO3;LGR4",0.000156781948116332,0.0260258033873111,"GO:0034122"
"4","ZBTB11-AS1","cluster_000330","#1F988BFF","ZBTB11-AS1","","Chitin Catabolic Process ","2/5","OVGP1;CHI3L2",9.48277750055821e-06,0.000445690542526236,"GO:0006032"
"5","NAALAD2","cluster_000101","#453882FF","NAALAD2","","Ethanol Oxidation ","3/7","ADH4;ADH1B;ADH1A",9.5546338672213e-08,2.48420480547754e-05,"GO:0006069"
"6","SNORD116-1","cluster_000235","#2C738EFF","SNORD116-1","","High-Density Lipoprotein Particle Assembly ","1/9","ZDHHC8",0.00985841272611761,0.119673929065825,"GO:0034380"
"7","SNORD116-5","cluster_000235","#2C738EFF","SNORD116-5","","High-Density Lipoprotein Particle Assembly ","1/9","ZDHHC8",0.00985841272611761,0.119673929065825,"GO:0034380"
"8","SNORD116-8","cluster_000235","#2C738EFF","SNORD116-8","","High-Density Lipoprotein Particle Assembly ","1/9","ZDHHC8",0.00985841272611761,0.119673929065825,"GO:0034380"
"9","SNORD116-13","cluster_000235","#2C738EFF","SNORD116-13","","High-Density Lipoprotein Particle Assembly ","1/9","ZDHHC8",0.00985841272611761,0.119673929065825,"GO:0034380"
"10","SNORD116-15","cluster_000235","#2C738EFF","SNORD116-15","","High-Density Lipoprotein Particle Assembly ","1/9","ZDHHC8",0.00985841272611761,0.119673929065825,"GO:0034380"
"11","SNORD116-16","cluster_000235","#2C738EFF","SNORD116-16","","High-Density Lipoprotein Particle Assembly ","1/9","ZDHHC8",0.00985841272611761,0.119673929065825,"GO:0034380"
"12","SNORD116-18","cluster_000235","#2C738EFF","SNORD116-18","","High-Density Lipoprotein Particle Assembly ","1/9","ZDHHC8",0.00985841272611761,0.119673929065825,"GO:0034380"
"13","SNORD116-20","cluster_000235","#2C738EFF","SNORD116-20","","High-Density Lipoprotein Particle Assembly ","1/9","ZDHHC8",0.00985841272611761,0.119673929065825,"GO:0034380"
"14","SNORD116-24","cluster_000235","#2C738EFF","SNORD116-24","","High-Density Lipoprotein Particle Assembly ","1/9","ZDHHC8",0.00985841272611761,0.119673929065825,"GO:0034380"
