"Feature_ID","Symbol"
"A1BG","A1BG"
"NAT2","NAT2"
"ADA","ADA"
"CDH2","CDH2"
"AKT3","AKT3"
"ZBTB11-AS1","ZBTB11-AS1"
"MED6","MED6"
"NR2E3","NR2E3"
"NAALAD2","NAALAD2"
"SNORD116-1","SNORD116-1"
"SNORD116-2","SNORD116-2"
"SNORD116-3","SNORD116-3"
"SNORD116-5","SNORD116-5"
"SNORD116-8","SNORD116-8"
"SNORD116-10","SNORD116-10"
"SNORD116-11","SNORD116-11"
"SNORD116-12","SNORD116-12"
"SNORD116-13","SNORD116-13"
"SNORD116-15","SNORD116-15"
"SNORD116-16","SNORD116-16"
"SNORD116-18","SNORD116-18"
"SNORD116-20","SNORD116-20"
"SNORD116-23","SNORD116-23"
"SNORD116-24","SNORD116-24"
"SNORD116-25","SNORD116-25"
"SNORD115-2","SNORD115-2"
"SNORD116-26","SNORD116-26"
"SNORD115-3","SNORD115-3"
"SNORD115-4","SNORD115-4"
"SNORD115-5","SNORD115-5"
"SNORD115-6","SNORD115-6"
"SNORD115-7","SNORD115-7"
"SNORD115-8","SNORD115-8"
"SNORD115-9","SNORD115-9"
"SNORD115-10","SNORD115-10"
"SNORD115-11","SNORD115-11"
"SNORD115-13","SNORD115-13"
"SNORD115-14","SNORD115-14"
"SNORD115-16","SNORD115-16"
"SNORD115-17","SNORD115-17"
"SNORD115-22","SNORD115-22"
"SNORD115-25","SNORD115-25"
"SNORD115-26","SNORD115-26"
"SNORD115-30","SNORD115-30"
"SNORD115-31","SNORD115-31"
"SNORD115-32","SNORD115-32"
"SNORD115-33","SNORD115-33"
"SNORD115-35","SNORD115-35"
"SNORD115-37","SNORD115-37"
"SNORD115-38","SNORD115-38"
"SNORD115-39","SNORD115-39"
"SNORD115-40","SNORD115-40"
"SNORD115-41","SNORD115-41"
"SNORD115-44","SNORD115-44"
"SNORD116-28","SNORD116-28"
"SNORD116-29","SNORD116-29"
"SNORD115-48","SNORD115-48"
"PDZK1P1","PDZK1P1"
"SNORD115-24","SNORD115-24"
"SNORD115-27","SNORD115-27"
"SNORD115-28","SNORD115-28"
"SNORD115-45","SNORD115-45"
"SNORD115-47","SNORD115-47"
"DDTL","DDTL"
"TLX1NB","TLX1NB"
"NAALADL1","NAALADL1"
"CDKN2B-AS1","CDKN2B-AS1"
"GUSBP17","GUSBP17"
"SIGLEC14","SIGLEC14"
"ACOT8","ACOT8"
"ABI1","ABI1"
"GNPDA1","GNPDA1"
"MIMT1","MIMT1"
"KCNE3","KCNE3"
"ZBTB33","ZBTB33"
"SNHG8","SNHG8"
"GTF2IP4","GTF2IP4"
"GS1-600G8.3","GS1-600G8.3"
"CDH3","CDH3"
"TANK","TANK"
"HAVCR1P1","HAVCR1P1"
"POM121C","POM121C"
"ZSCAN30","ZSCAN30"
"MCTS2P","MCTS2P"
"ANKRD26P3","ANKRD26P3"
"SRA1","SRA1"
"SNORD119","SNORD119"
"SNORD121A","SNORD121A"
"SNORD19B","SNORD19B"
"SNORD105B","SNORD105B"
"SNORD123","SNORD123"
"UCKL1-AS1","UCKL1-AS1"
"SNORD127","SNORD127"
"SNORD126","SNORD126"
"SNORD11B","SNORD11B"
"SNORD12B","SNORD12B"
"SNORD111B","SNORD111B"
"LIN28B-AS1","LIN28B-AS1"
"LINC00583","LINC00583"
"TMEM170B","TMEM170B"
"FAM138E","FAM138E"
"SNORD58C","SNORD58C"
"SCARNA27","SCARNA27"
"SNORA84","SNORA84"
"SNORA36C","SNORA36C"
