"","feature","cluster","col","feature_name","feature_map","enriched_Term","enriched_Overlap","enriched_Genes","enriched_P.value","enriched_Adjusted.P.value","enriched_GO"
"1","A1BG","cluster_000662","#F381BD","A1BG","A1BG","Regulation Of Rab Protein Signal Transduction ","1/6","DENND4B",0.00419311979869468,0.0807624723432331,"GO:0032483"
"2","A1BG-AS1","cluster_000662","#F381BD","A1BG-AS1","A1BG-AS1","Regulation Of Rab Protein Signal Transduction ","1/6","DENND4B",0.00419311979869468,0.0807624723432331,"GO:0032483"
"3","A1CF","cluster_000464","#FFF62F","A1CF","A1CF","Inflammatory Response ","4/236","CSF1R;LOXL3;TLR6;NAIP",7.89242844839864e-05,0.0214674053796443,"GO:0006954"
"4","A2M","cluster_000593","#BE6356","A2M","A2M","Angiotensin-Activated Signaling Pathway ","1/6","CAMK2A",0.00479094227501427,0.0732461644822065,"GO:0038166"
"5","A2M-AS1","cluster_000192","#4FAB4D","A2M-AS1","A2M-AS1","Inflammatory Response ","4/236","CD40LG;CCR2;KLRG1;PTGDR",0.000267942856639939,0.0302816841969644,"GO:0006954"
"6","A2ML1","cluster_000055","#805375","A2ML1","A2ML1","Protein Polyubiquitination ","5/226","RNF34;KBTBD6;MKRN1;UBE3B;KBTBD7",5.7211996555723e-05,0.011556823304256,"GO:0000209"
"7","A2MP1","cluster_000192","#4FAB4D","A2MP1","A2MP1","Inflammatory Response ","4/236","CD40LG;CCR2;KLRG1;PTGDR",0.000267942856639939,0.0302816841969644,"GO:0006954"
"8","A4GALT","cluster_000361","#ED761A","A4GALT","A4GALT","Regulation Of Signal Transduction By P53 Class Mediator ","4/47","BOP1;NOP2;RRS1;URB2",1.89775013755379e-07,2.5999176884487e-05,"GO:1901796"
"9","A4GNT","cluster_000285","#9A4F9E","A4GNT","A4GNT","Telomere Maintenance Via Telomerase ","2/19","TERT;DKC1",0.000233060075995262,0.0200431665355925,"GO:0007004"
"10","AAAS","cluster_000038","#9F4159","AAAS","AAAS","Peptidyl-Serine Autophosphorylation ","2/7","PIKFYVE;RIPK1",7.73269914875204e-05,0.0283016788844324,"GO:0036289"
"11","AACS","cluster_000518","#D1A92D","AACS","AACS","Regulation Of Natural Killer Cell Mediated Cytotoxicity ","3/32","NCR1;KLRC3;CRTAM",2.98659820067944e-06,0.000483828908510069,"GO:0042269"
"12","AACSP1","cluster_000617","#D36E7C","AACSP1","AACSP1","Negative Regulation Of DNA-binding Transcription Factor Activity ","3/149","BHLHE40;ZC3H12A;HES1",0.000172652124281059,0.0291586461509154,"GO:0043433"
"13","AADAT","cluster_000058","#7A567A","AADAT","AADAT","mRNA Transport ","3/58","XPO1;NUP85;THOC3",0.000154383359241438,0.0168998885591137,"GO:0051028"
"14","AAGAB","cluster_000133","#3F918B","AAGAB","AAGAB","Isoprenoid Biosynthetic Process ","2/8","MVD;PDSS1",6.05600788972395e-05,0.006449648402556,"GO:0008299"
"15","AAK1","cluster_000670","#EB84BA","AAK1","AAK1","Hypotonic Response ","1/6","MYLK",0.00419311979869468,0.0685047022725813,"GO:0006971"
"16","AAMDC","cluster_000177","#4AA857","AAMDC","AAMDC","Negative Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity ","2/19","INCA1;CDK5RAP1",0.00031846935205505,0.0223913244007432,"GO:0045736"
"17","AAMP","cluster_000375","#FD7E02","AAMP","AAMP","Protein C-linked Glycosylation Via 2'-alpha-mannosyl-L-tryptophan ","1/5","DPY19L4",0.00548838944332051,0.114515933678639,"GO:0018406"
"18","AANAT","cluster_000636","#E3769B","AANAT","AANAT","Positive Regulation Of Fibroblast Proliferation ","2/28","SPHK1;FN1",0.000196229365545709,0.0335552215083162,"GO:0048146"
"19","AAR2","cluster_000145","#42987D","AAR2","AAR2","Positive Regulation Of Proteolysis Involved In Protein Catabolic Process ","2/31","PSMC3;PSMC2",0.000984408363070054,0.0778467033535432,"GO:1903052"
