"Feature_ID","BIOCHEMICAL","name","Metabolite","H_SUPER_PATHWAY","H_SUB_PATHWAY","H_COMP_IDstr","KEGG","H_HMDB","H_MetabolonID"
"Metab1","glycine","glycine","glycine","Amino acid","Glycine, Serine and Threonine Metabolism",11777,"C00037","HMDB00123","M11777"
"Metab2","N-acetylglycine","N-acetylglycine","N-acetylglycine","Amino acid","Glycine, Serine and Threonine Metabolism",27710,NA,"HMDB00532","M27710"
"Metab3","sarcosine","sarcosine","sarcosine","Amino Acid","Glycine, Serine and Threonine Metabolism",1516,"C00213","HMDB00271","M1516"
"Metab4","dimethylglycine","dimethylglycine","dimethylglycine","Amino Acid","Glycine, Serine and Threonine Metabolism",5086,"C01026","HMDB00092","M5086"
"Metab5","betaine","betaine","betaine","Amino Acid","Glycine, Serine and Threonine Metabolism",3141,"C00719","HMDB00043","M3141"
"Metab6","betaine aldehyde","betaine aldehyde","betaine aldehyde","Amino Acid","Glycine, Serine and Threonine Metabolism",15499,"C00576","HMDB01252","M15499"
"Metab7","serine","serine","serine","Amino acid","Glycine, Serine and Threonine Metabolism",1648,"C00065","HMDB03406","M1648"
"Metab8","N-acetylserine","N-acetylserine","N-acetylserine","Amino acid","Glycine, Serine and Threonine Metabolism",37076,NA,"HMDB02931","M37076"
"Metab9","2-methylserine","2-methylserine","2-methylserine","Amino Acid","Glycine, Serine and Threonine Metabolism",53229,"C02115",NA,"M53229"
"Metab10","threonine","threonine","threonine","Amino Acid","Glycine, Serine and Threonine Metabolism",1284,"C00188","HMDB00167","M1284"
"Metab11","N-acetylthreonine","N-acetylthreonine","N-acetylthreonine","Amino Acid","Glycine, Serine and Threonine Metabolism",33939,"C01118","HMDB62557","M33939"
"Metab12","alanine","alanine","alanine","Amino acid","Alanine and Aspartate Metabolism",1126,"C00041","HMDB00161","M1126"
"Metab13","N-acetylalanine","N-acetylalanine","N-acetylalanine","Amino acid","Alanine and Aspartate Metabolism",1585,"C02847","HMDB00766","M1585"
"Metab14","N-methylalanine","N-methylalanine","N-methylalanine","Amino Acid","Alanine and Aspartate Metabolism",37069,"C02721","HMDB0094692","M37069"
"Metab15","N,N-dimethylalanine","N,N-dimethylalanine","N,N-dimethylalanine","Amino Acid","Alanine and Aspartate Metabolism",63151,NA,NA,"M63151"
"Metab16","aspartate","aspartate","aspartate","Amino acid","Alanine and Aspartate Metabolism",15996,"C00049","HMDB00191","M15996"
"Metab17","N-acetylaspartate (NAA)","N-acetylaspartate (NAA)","N-acetylaspartate (NAA)","Amino acid","Alanine and Aspartate Metabolism",22185,"C01042","HMDB00812","M22185"
"Metab18","asparagine","asparagine","asparagine","Amino acid","Alanine and Aspartate Metabolism",11398,"C00152","HMDB00168","M11398"
"Metab19","N-acetylasparagine","N-acetylasparagine","N-acetylasparagine","Amino Acid","Alanine and Aspartate Metabolism",33942,NA,"HMDB06028","M33942"
"Metab20","hydroxyasparagine","hydroxyasparagine","hydroxyasparagine","Amino Acid","Alanine and Aspartate Metabolism",62060,"C03124","HMDB32332","M62060"
"Metab21","glutamate","glutamate","glutamate","Amino acid","Glutamate Metabolism",57,"C00025","HMDB03339","M57"
"Metab22","glutamine","glutamine","glutamine","Amino acid","Glutamate Metabolism",53,"C00064","HMDB00641","M53"
"Metab23","N-acetylglutamate","N-acetylglutamate","N-acetylglutamate","Amino Acid","Glutamate Metabolism",15720,"C00624","HMDB01138","M15720"
"Metab24","N-acetylglutamine","N-acetylglutamine","N-acetylglutamine","Amino Acid","Glutamate Metabolism",33943,"C02716","HMDB06029","M33943"
"Metab25","N-methylglutamate","N-methylglutamate","N-methylglutamate","Amino acid","Glutamate Metabolism",31532,"C01046","HMDB0062660","M31532"
"Metab26","4-hydroxyglutamate","4-hydroxyglutamate","4-hydroxyglutamate","Amino Acid","Glutamate Metabolism",40499,"C03079","HMDB01344","M40499"
"Metab27","gamma-carboxyglutamate","gamma-carboxyglutamate","gamma-carboxyglutamate","Amino Acid","Glutamate Metabolism",38754,NA,"HMDB41900","M38754"
"Metab28","glutamate, gamma-methyl ester","glutamate, gamma-methyl ester","glutamate, gamma-methyl ester","Amino Acid","Glutamate Metabolism",33487,NA,"HMDB61715","M33487"
"Metab29","pyroglutamine*","pyroglutamine*","pyroglutamine","Amino acid","Glutamate Metabolism",32672,NA,NA,"M32672"
"Metab30","N-acetyl-aspartyl-glutamate (NAAG)","N-acetyl-aspartyl-glutamate (NAAG)","N-acetyl-aspartyl-glutamate (NAAG)","Amino acid","Glutamate Metabolism",35665,"C12270","HMDB01067","M35665"
"Metab31","beta-citrylglutamate","beta-citrylglutamate","beta-citrylglutamate","Amino Acid","Glutamate Metabolism",54923,"C20775",NA,"M54923"
"Metab32","carboxyethyl-GABA","carboxyethyl-GABA","carboxyethyl-GABA","Amino Acid","Glutamate Metabolism",40007,NA,"HMDB02201","M40007"
"Metab33","N-methyl-GABA","N-methyl-GABA","N-methyl-GABA","Amino Acid","Glutamate Metabolism",39577,"C15987",NA,"M39577"
"Metab34","S-1-pyrroline-5-carboxylate","S-1-pyrroline-5-carboxylate","S-1-pyrroline-5-carboxylate","Amino Acid","Glutamate Metabolism",42370,"C04322","HMDB01301","M42370"
"Metab35","succinylglutamine","succinylglutamine","succinylglutamine","Amino Acid","Glutamate Metabolism",55014,NA,NA,"M55014"
"Metab36","histidine","histidine","histidine","Amino acid","Histidine Metabolism",59,"C00135","HMDB00177","M59"
"Metab37","1-methylhistidine","1-methylhistidine","1-methylhistidine","Amino Acid","Histidine Metabolism",30460,"C01152","HMDB00001","M30460"
"Metab38","3-methylhistidine","3-methylhistidine","3-methylhistidine","Amino acid","Histidine Metabolism",15677,"C01152","HMDB00479","M15677"
"Metab39","N-acetylhistidine","N-acetylhistidine","N-acetylhistidine","Amino Acid","Histidine Metabolism",33946,"C02997","HMDB32055","M33946"
"Metab40","1-carboxyethylhistidine","1-carboxyethylhistidine","1-carboxyethylhistidine","Amino Acid","Histidine Metabolism",64595,NA,NA,"M64595"
"Metab42","N-acetyl-1-methylhistidine*","N-acetyl-1-methylhistidine*","N-acetyl-1-methylhistidine","Amino Acid","Histidine Metabolism",43255,NA,NA,"M43255"
"Metab43","hydantoin-5-propionate","hydantoin-5-propionate","hydantoin-5-propionate","Amino Acid","Histidine Metabolism",40473,"C05565","HMDB01212","M40473"
"Metab44","imidazole propionate","imidazole propionate","imidazole propionate","Amino Acid","Histidine Metabolism",40730,NA,"HMDB02271","M40730"
"Metab45","formiminoglutamate","formiminoglutamate","formiminoglutamate","Amino Acid","Histidine Metabolism",43493,"C00439","HMDB00854","M43493"
"Metab46","imidazole lactate","imidazole lactate","imidazole lactate","Amino Acid","Histidine Metabolism",15716,"C05568","HMDB02320","M15716"
"Metab47","carnosine","carnosine","carnosine","Peptide","Dipeptide Derivative",1768,"C00386","HMDB00033","M1768"
"Metab49","anserine","anserine","anserine","Amino Acid","Histidine Metabolism",15747,"C01262","HMDB00194","M15747"
"Metab50","histamine","histamine","histamine","Amino acid","Histidine Metabolism",1574,"C00388","HMDB00870","M1574"
"Metab51","1-methylhistamine","1-methylhistamine","1-methylhistamine","Amino Acid","Histidine Metabolism",43831,"C05127","HMDB00898","M43831"
"Metab52","1-methyl-4-imidazoleacetate","1-methyl-4-imidazoleacetate","1-methylimidazoleacetate","Amino acid","Histidine Metabolism",32350,"C05828","HMDB02820","M32350"
"Metab53","1-methyl-5-imidazoleacetate","1-methyl-5-imidazoleacetate","1-methyl-5-imidazoleacetate","Amino Acid","Histidine Metabolism",62946,NA,"HMDB04988","M62946"
"Metab54","1-methyl-5-imidazolelactate","1-methyl-5-imidazolelactate","1-methyl-5-imidazolelactate","Amino Acid","Histidine Metabolism",64596,NA,NA,"M64596"
"Metab55","1-ribosyl-imidazoleacetate*","1-ribosyl-imidazoleacetate*","1-ribosyl-imidazoleacetate","Amino Acid","Histidine Metabolism",61868,"C05131","HMDB02331","M61868"
"Metab56","4-imidazoleacetate","4-imidazoleacetate","4-imidazoleacetate","Amino Acid","Histidine Metabolism",32349,"C02835","HMDB02024","M32349"
"Metab57","histidine methyl ester","histidine methyl ester","histidine methyl ester","Amino Acid","Histidine Metabolism",32493,NA,NA,"M32493"
"Metab58","lysine","lysine","lysine","Amino acid","Lysine Metabolism",1301,"C00047","HMDB00182","M1301"
"Metab59","N2-acetyllysine","N2-acetyllysine","N2-acetyllysine","Amino acid","Lysine Metabolism",36751,"C12989","HMDB00446","M36751"
