Feature_ID,RowIdentifier,OrigIdentifier,Protein IDs,RefType,Majority protein IDs,Has_Contaminant_Flag,All_Reverse_Flag,Cow_Contaminant_Flag,Target_Species_Flag,Accession_Protein,GeneID,NumGenes,WarningLevel,Fasta headers,Symbol,Alias,Type,Location,Description,TMT11plex-Batch1_TMT-126C,TMT11plex-Batch2_TMT-126C
395,sp~mT-EGFP~mT-EGFP;CON__Q9U6Y5,sp|mT-EGFP|mT-EGFP;CON__Q9U6Y5,sp|mT-EGFP|mT-EGFP;CON__Q9U6Y5,__Other,sp|mT-EGFP|mT-EGFP;CON__Q9U6Y5,2,0,0,1,---,---,0,1,sp|mT-EGFP|mT-EGFP mT-EGFP mT-EGFP mT-EGFP;,mT-EGFP,---,---,---,mT-EGFP,18.0971098,18.0971098
396,sp~mT-tdTomato~mT-tdTomato,sp|mT-tdTomato|mT-tdTomato,sp|mT-tdTomato|mT-tdTomato,__Other,sp|mT-tdTomato|mT-tdTomato,0,0,0,1,---,---,0,1,sp|mT-tdTomato|mT-tdTomato mT-tdTomato mT-tdTomato mT-tdTomato,mT-tdTomato,---,---,---,mT-tdTomato,18.97740009,18.97740009
6678,sp~Q9D0I6~WSDU1_MOUSE,sp|Q9D0I6|WSDU1_MOUSE,sp|Q9D0I6|WSDU1_MOUSE,__Other,sp|Q9D0I6|WSDU1_MOUSE,0,0,0,1,Q9D0I6,72137,1,0,"sp|Q9D0I6|WSDU1_MOUSE WD repeat, SAM and U-box domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wdsub1 PE=2 SV=1",Wdsub1,1700048E19Rik 2610014F08Rik,protein-coding,2|2_C1.1,"WD repeat, SAM and U-box domain containing 1 ||| WD repeat, SAM and U-box domain-containing protein 1",13.65757753,13.65757753
6906,sp~Q9D7X8~GGCT_MOUSE,sp|Q9D7X8|GGCT_MOUSE,sp|Q9D7X8|GGCT_MOUSE,__Other,sp|Q9D7X8|GGCT_MOUSE,0,0,0,1,Q9D7X8,110175,1,0,sp|Q9D7X8|GGCT_MOUSE Gamma-glutamylcyclotransferase OS=Mus musculus OX=10090 GN=Ggct PE=1 SV=1,Ggct,A030007L17Rik AA673177 Gctg Ggc,protein-coding,6_B3|6_27.26_cM,gamma-glutamyl cyclotransferase ||| Gamma-glutamylcyclotransferase,13.32662872,13.32662872
5643,sp~Q91VS7~MGST1_MOUSE,sp|Q91VS7|MGST1_MOUSE,sp|Q91VS7|MGST1_MOUSE,__Other,sp|Q91VS7|MGST1_MOUSE,0,0,0,1,Q91VS7,56615,1,0,sp|Q91VS7|MGST1_MOUSE Microsomal glutathione S-transferase 1 OS=Mus musculus OX=10090 GN=Mgst1 PE=1 SV=3,Mgst1,1500002K10Rik Gst,protein-coding,6|6_G1,microsomal glutathione S-transferase 1,16.72343944,16.72343944
919,sp~P02798~MT2_MOUSE,sp|P02798|MT2_MOUSE,sp|P02798|MT2_MOUSE,__Other,sp|P02798|MT2_MOUSE,0,0,0,1,P02798,17750,1,0,sp|P02798|MT2_MOUSE Metallothionein-2 OS=Mus musculus OX=10090 GN=Mt2 PE=1 SV=2,Mt2,AA409533 MT-II Mt-2,protein-coding,8_C5|8_46.32_cM,metallothionein 2 ||| Metallothionein-2,14.6537289,14.6537289
7309,sp~Q9ET01~PYGL_MOUSE,sp|Q9ET01|PYGL_MOUSE,sp|Q9ET01|PYGL_MOUSE,__Other,sp|Q9ET01|PYGL_MOUSE,0,0,0,1,Q9ET01,110095,1,0,"sp|Q9ET01|PYGL_MOUSE Glycogen phosphorylase, liver form OS=Mus musculus OX=10090 GN=Pygl PE=1 SV=4",Pygl,---,protein-coding,12_C2|12_29.01_cM,"liver glycogen phosphorylase ||| Glycogen phosphorylase, liver form",17.78990573,17.78990573
920,sp~P02802~MT1_MOUSE,sp|P02802|MT1_MOUSE,sp|P02802|MT1_MOUSE,__Other,sp|P02802|MT1_MOUSE,0,0,0,1,P02802,17748,1,0,sp|P02802|MT1_MOUSE Metallothionein-1 OS=Mus musculus OX=10090 GN=Mt1 PE=1 SV=1,Mt1,MT-I Mt-1,protein-coding,8_C5|8_46.34_cM,metallothionein 1 ||| Metallothionein-1,14.97287153,14.97287153
1738,sp~P52760~RIDA_MOUSE,sp|P52760|RIDA_MOUSE,sp|P52760|RIDA_MOUSE,__Other,sp|P52760|RIDA_MOUSE,0,0,0,1,P52760,15473,1,0,sp|P52760|RIDA_MOUSE 2-iminobutanoate/2-iminopropanoate deaminase OS=Mus musculus OX=10090 GN=Rida PE=1 SV=3,Rida,HR12 HRP12 Hrsp12,protein-coding,15|15_B3.1,reactive intermediate imine deaminase A homolog ||| 2-iminobutanoate/2-iminopropanoate deaminase,16.10368399,16.10368399
7894,sp~Q9Z0N2~IF2H_MOUSE,sp|Q9Z0N2|IF2H_MOUSE,sp|Q9Z0N2|IF2H_MOUSE,__Other,sp|Q9Z0N2|IF2H_MOUSE,0,0,0,1,Q9Z0N2,26908,1,0,"sp|Q9Z0N2|IF2H_MOUSE Eukaryotic translation initiation factor 2 subunit 3, Y-linked OS=Mus musculus OX=10090 GN=Eif2s3y PE=1 SV=2",Eif2s3y,Eif-2gy Spy Tfy,protein-coding,Y|Y_A1,"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked ||| Eukaryotic translation initiation factor 2 subunit 3, Y-linked",11.02802713,11.02802713
