Feature_ID,Accession,Has_Contaminant_Flag,All_Reverse_Flag,Cow_Contaminant_Flag,Accession_RNA,Accession_Protein,GeneID,Symbol,Alias,Type,Location,Description
1,NP_060547.2,0,0,0,NM_018077,NP_060547,55131,RBM28,ANES,protein-coding,7q32.1,RNA binding motif protein 28
2,NP_060416.1,0,0,0,NM_017946,NP_060416,55033,FKBP14,EDSKMH FKBP22 IPBP12,protein-coding,7p14.3,FK506 binding protein 14
3,NP_055986.1,0,0,0,NM_015171,NP_055986,23214,XPO6,EXP6 RANBP20,protein-coding,16p12.1,exportin 6
4,NP_001186284.1;NP_001186269.1;NP_001186270.1;NP_001186271.1;NP_001186272.1;NP_001186273.1;NP_000976.1;NP_001030178.1,0,0,0,NM_000985 NM_001035006 NM_001199340 NM_001199341 NM_001199342 NM_001199343 NM_001199344 NM_001199355,NP_000976 NP_001030178 NP_001186269 NP_001186270 NP_001186271 NP_001186272 NP_001186273 NP_001186284,6139 100526842,RPL17 RPL17-C18orf32,L17 PD-1 RPL23,protein-coding,18q21.1,ribosomal protein L17 ||| RPL17-C18orf32 readthrough
5,NP_757365.1;XP_005253879.1;XP_016874188.1;NP_705720.1;XP_005253881.1;XP_016874194.1;NP_757364.1,0,0,0,NM_153500 NM_172215 NM_172216 XM_005253822 XM_005253824 XM_017018699 XM_017018705,NP_705720 NP_757364 NP_757365 XP_005253879 XP_005253881 XP_016874188 XP_016874194,10645,CAMKK2,CAMKK CAMKKB,protein-coding,12q24.31,calcium/calmodulin dependent protein kinase kinase 2
6,NP_000966.2;NP_001186731.1,0,0,0,NM_000975 NM_001199802,NP_000966 NP_001186731,6135,RPL11,DBA7 GIG34 L11,protein-coding,1p36.11,ribosomal protein L11
7,NP_002475.2;NP_001265435.1;XP_016878741.1,0,0,0,NM_001278506 NM_002484 XM_017023252,NP_001265435 NP_002475 XP_016878741,4682,NUBP1,NBP NBP1 NBP35,protein-coding,16p13.13,nucleotide binding protein 1
8,XP_016882512.1;NP_065701.2;XP_011525445.1,0,0,0,NM_020650 XM_011527143 XM_017027023,NP_065701 XP_011525445 XP_016882512,57333,RCN3,RLP49,protein-coding,19q13.33,reticulocalbin 3
9,XP_016862366.1;XP_005247693.1;NP_064572.2;NP_001006109.1,0,0,0,NM_001006109 NM_020187 XM_005247636 XM_017006877,NP_001006109 NP_064572 XP_005247693 XP_016862366,56941,HMCES,C3orf37 DC12 SRAPD1,protein-coding,3q21.3,"5-hydroxymethylcytosine (hmC) binding, ES cell-specific"
10,NP_003002.2;XP_016870505.1,0,0,0,NM_003011 XM_017015016,NP_003002 XP_016870505,6418,SET,2PP2A I2PP2A IGAAD IPP2A2 PHAPII TAF-I TAF-IBETA,protein-coding,9q34.11,SET nuclear proto-oncogene
